[INFO] [1744940648.617595937] [path_listener_py]: 接收到的路径有 227 个位姿
[INFO] [1744940649.683160184] [path_listener_py]: Pose 210: Position (x=0.4218841363770376, y=-0.2575635978216493, z=0.0) Orientation (x=0.0, y=0.0, z=0.0, w=1.0)
[INFO] [1744940649.683558593] [path_listener_py]: Pose 220: Position (x=0.19055020959004976, y=-0.16423702782745941, z=0.0) Orientation (x=0.0, y=0.0, z=0.0, w=1.0)
[INFO] [1744940650.712033354] [path_listener_py]: 接收到的路径有 226 个位姿
[INFO] [1744940650.712628051] [path_listener_py]: Pose 0: Position (x=-1.9799999783933164, y=-2.999999856948852, z=0.0) Orientation (x=0.0, y=0.0, z=0.0, w=1.0)
[INFO] [1744940650.713108417] [path_listener_py]: Pose 10: Position (x=-1.7051025896534715, y=-3.1464476130373438, z=0.0) Orientation (x=0.0, y=0.0, z=0.0, w=1.0)
[INFO] [1744940650.713556993] [path_listener_py]: Pose 20: Position (x=-1.4715984815597314, y=-3.2352705513726274, z=0.0) Orientation (x=0.0, y=0.0, z=0.0, w=1.0)
[INFO] [1744940650.713988068] [path_listener_py]: Pose 30: Position (x=-1.2356064278722774, y=-3.3048040912271173, z=0.0) Orientation (x=0.0, y=0.0, z=0.0, w=1.0)
[INFO] [1744940650.714455309] [path_listener_py]: Pose 40: Position (x=-0.9864359300797578, y=-3.324510817594989, z=0.0) Orientation (x=0.0, y=0.0, z=0.0, w=1.0)
[INFO] [1744940650.714886093] [path_listener_py]: Pose 50: Position (x=-0.736535489954584, y=-3.3226843405169912, z=0.0) Orientation (x=0.0, y=0.0, z=0.0, w=1.0)
[INFO] [1744940650.715299377] [path_listener_py]: Pose 60: Position (x=-0.4873274173934381, y=-3.3124014424145454, z=0.0) Orientation (x=0.0, y=0.0, z=0.0, w=1.0)
[INFO] [1744940650.715756702] [path_listener_py]: Pose 70: Position (x=-0.2502386382257744, y=-3.2446081674785656, z=0.0) Orientation (x=0.0, y=0.0, z=0.0, w=1.0)
[INFO] [1744940650.716167653] [path_listener_py]: Pose 80: Position (x=0.02000005140900596, y=-3.1999998599290844, z=0.0) Orientation (x=0.0, y=0.0, z=0.0, w=1.0)
[INFO] [1744940650.716572479] [path_listener_py]: Pose 90: Position (x=0.3200000558793543, y=-3.0499998576939102, z=0.0) Orientation (x=0.0, y=0.0, z=0.0, w=1.0)
[INFO] [1744940650.716977596] [path_listener_py]: Pose 100: Position (x=0.4311260035801818, y=-2.678491063095498, z=0.0) Orientation (x=0.0, y=0.0, z=0.0, w=1.0)
